No.;Time;Source;Destination;Protocol;Length;Info;;;;;;time 2;time 1;delay;delay 2; delay 1;jitter
873;4.108.056;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=1625 Ack=882 Win=510 Len=0;;;;;;4.174.152;4.108.056;0.066096;0.75867;-0.692574;1.451.244
890;4.174.152;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=882 Ack=1625 Win=16 Len=0;;;;;;4.932.822;4.174.152;0.75867;0.009982;0.748688;-0.738706
1042;4.932.822;13.52.28.67;192.168.100.6;TLSv1.2;138;Application Data;;;;;;4.942.804;4.932.822;0.009982;0.171919;-0.161937;0.333856
1044;4.942.804;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;5.114.723;4.942.804;0.171919;0;0.171919;-0.171919
1078;5.114.723;13.52.28.67;192.168.100.6;TLSv1.2;123;Application Data;;;;;;5.114.723;5.114.723;0;7.9E-05;-7.9E-05;0.000158
1079;5.114.723;13.52.28.67;192.168.100.6;TLSv1.2;119;Application Data;;;;;;5.114.802;5.114.723;7.9E-05;0.000114;-3.5E-05;0.000149
1080;5.114.802;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=1663 Ack=1100 Win=509 Len=0;;;;;;5.114.916;5.114.802;0.000114;0.080678;-0.080564;0.161242
1081;5.114.916;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;5.195.594;5.114.916;0.080678;0.182392;-0.101714;0.284106
1107;5.195.594;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1100 Ack=1663 Win=16 Len=0;;;;;;5.377.986;5.195.594;0.182392;0.02923;0.153162;-0.123932
1150;5.377.986;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1100 Ack=1701 Win=16 Len=0;;;;;;5.407.216;5.377.986;0.02923;9,00E-05;0.02914;-0.02905
1156;5.407.216;13.52.28.67;192.168.100.6;TLSv1.2;266;Application Data, Application Data;;;;;;5.407.306;5.407.216;9,00E-05;0.010071;-0.009981;0.020052
1157;5.407.306;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=1701 Ack=1312 Win=508 Len=0;;;;;;5.417.377;5.407.306;0.010071;0.053411;-0.04334;0.096751
1158;5.417.377;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;5.470.788;5.417.377;0.053411;0.019179;0.034232;-0.015053
1168;5.470.788;192.168.100.6;69.171.250.60;TLSv1.2;85;Application Data;;;;;;5.489.967;5.470.788;0.019179;0.137014;-0.117835;0.254849
1173;5.489.967;69.171.250.60;192.168.100.6;TCP;54;443  >  65362 [ACK] Seq=1 Ack=32 Win=801 Len=0;;;;;;5.626.981;5.489.967;0.137014;0.010714;0.1263;-0.115586
1202;5.626.981;13.52.28.67;192.168.100.6;TLSv1.2;160;Application Data;;;;;;5.637.695;5.626.981;0.010714;0.044333;-0.033619;0.077952
1203;5.637.695;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;5.682.028;5.637.695;0.044333;0;0.044333;-0.044333
1215;5.682.028;13.52.28.67;192.168.100.6;TLSv1.2;160;Application Data;;;;;;5.682.028;5.682.028;0;7.8E-05;-7.8E-05;0.000156
1216;5.682.028;13.52.28.67;192.168.100.6;TLSv1.2;114;Application Data;;;;;;5.682.106;5.682.028;7.8E-05;0.009916;-0.009838;0.019754
1217;5.682.106;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=1777 Ack=1584 Win=507 Len=0;;;;;;5.692.022;5.682.106;0.009916;0.004521;0.005395;-0.000874
1218;5.692.022;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;5.696.543;5.692.022;0.004521;0.040424;-0.035903;0.076327
1221;5.696.543;69.171.250.60;192.168.100.6;TLSv1.2;92;Application Data;;;;;;5.736.967;5.696.543;0.040424;0.192399;-0.151975;0.344374
1225;5.736.967;192.168.100.6;69.171.250.60;TCP;54;65362  >  443 [ACK] Seq=32 Ack=39 Win=515 Len=0;;;;;;5.929.366;5.736.967;0.192399;0.014394;0.178005;-0.163611
1270;5.929.366;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1584 Ack=1777 Win=16 Len=0;;;;;;594.376;5.929.366;0.014394;0.109824;-0.09543;0.205254
1273;594.376;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1584 Ack=1815 Win=16 Len=0;;;;;;6.053.584;594.376;0.109824;0.009647;0.100177;-0.09053
1309;6.053.584;13.52.28.67;192.168.100.6;TLSv1.2;138;Application Data;;;;;;6.063.231;6.053.584;0.009647;0.25157;-0.241923;0.493493
1312;6.063.231;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;6.314.801;6.063.231;0.25157;0.202006;0.049564;0.152442
1383;6.314.801;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1668 Ack=1853 Win=16 Len=0;;;;;;6.516.807;6.314.801;0.202006;0.089797;0.112209;-0.022412
1438;6.516.807;192.168.100.6;13.52.28.67;TLSv1.2;688;Application Data;;;;;;6.606.604;6.516.807;0.089797;0.014005;0.075792;-0.061787
1453;6.606.604;13.52.28.67;192.168.100.6;TLSv1.2;123;Application Data;;;;;;6.620.609;6.606.604;0.014005;0.147975;-0.13397;0.281945
1456;6.620.609;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;6.768.584;6.620.609;0.147975;0.018145;0.12983;-0.111685
1494;6.768.584;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1737 Ack=2487 Win=16 Len=0;;;;;;6.786.729;6.768.584;0.018145;0.039777;-0.021632;0.061409
1499;6.786.729;13.52.28.67;192.168.100.6;TLSv1.2;92;Application Data;;;;;;6.826.506;6.786.729;0.039777;0.026002;0.013775;0.012227
1506;6.826.506;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=2525 Ack=1775 Win=512 Len=0;;;;;;6.852.508;6.826.506;0.026002;;0.026002;
1513;6.852.508;13.52.28.67;192.168.100.6;TLSv1.2;123;Application Data;;;;;;;;;;;
;;;;;;;;;;;;total delay;6.764.494;;;total jitter;6.672.618
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;rata2 delay;0.004473872;;;rata2 jitter;0.004413107
